i,zad,N,np,real_N,time
1,1,2500,12,2508,24.012931225821376
1,1,2500,11,2508,25.419166196137667
1,1,2500,10,2500,27.216754352673888
1,1,2500,9,2502,30.98483551852405
1,1,2500,8,2504,33.39436565153301
1,1,2500,7,2506,37.739174189046025
1,1,2500,6,2502,44.77256628498435
1,1,2500,5,2500,53.449455292895436
1,1,2500,4,2500,54.346106611192226
1,1,2500,3,2502,88.31773138605058
1,1,2500,2,2500,105.35587517544627
1,1,2500,1,2500,188.9115636497736
1,1,500,12,504,0.9925657566636801
1,1,500,11,506,1.0980387702584267
1,1,500,10,500,1.115971703082323
1,1,500,9,504,1.2757094334810972
1,1,500,8,504,1.468328282237053
1,1,500,7,504,1.5222843326628208
1,1,500,6,504,1.8090085610747337
1,1,500,5,500,2.1983187664300203
1,1,500,4,500,1.954181144014001
1,1,500,3,501,3.396868431940675
1,1,500,2,500,3.777385773137212
1,1,500,1,500,7.4064107574522495
1,1,50,12,60,0.047906890511512756
1,1,50,11,55,0.04758494906127453
1,1,50,10,50,0.0412106066942215
1,1,50,9,54,0.044766053557395935
1,1,50,8,56,0.051069287583231926
1,1,50,7,56,0.050437312573194504
1,1,50,6,54,0.04839594289660454
1,1,50,5,50,0.04433716833591461
1,1,50,4,52,0.044810689985752106
1,1,50,3,51,0.051604047417640686
1,1,50,2,50,0.08020145259797573
1,1,50,1,50,0.0985939223319292
2,1,2500,12,2508,23.583987524732947
2,1,2500,11,2508,25.17933749780059
2,1,2500,10,2500,26.528489254415035
2,1,2500,9,2502,30.168850449845195
2,1,2500,8,2504,32.62092678807676
2,1,2500,7,2506,38.24259851872921
2,1,2500,6,2502,43.94539729133248
2,1,2500,5,2500,51.156190287321806
2,1,2500,4,2500,64.6656022425741
2,1,2500,3,2502,87.72829094342887
2,1,2500,2,2500,100.94251032173634
2,1,2500,1,2500,214.85698620975018
2,1,500,12,504,1.0080622658133507
2,1,500,11,506,1.0641031805425882
2,1,500,10,500,1.1053154654800892
2,1,500,9,504,1.3160677533596754
2,1,500,8,504,1.4221868440508842
2,1,500,7,504,1.6303737182170153
2,1,500,6,504,1.8962619230151176
2,1,500,5,500,2.2201339658349752
2,1,500,4,500,2.6913467291742563
2,1,500,3,501,3.5756997354328632
2,1,500,2,500,4.559724362567067
2,1,500,1,500,7.569922344759107
2,1,50,12,60,0.05152725614607334
2,1,50,11,55,0.048092978075146675
2,1,50,10,50,0.04303180240094662
2,1,50,9,54,0.044437989592552185
2,1,50,8,56,0.04558483883738518
2,1,50,7,56,0.04787030257284641
2,1,50,6,54,0.04876341670751572
2,1,50,5,50,0.04795033298432827
