i,zad,N,np,real_N,time
1,3,1000,1,1000,282.39072264684364
1,3,1000,2,1000,200.88528725900687
1,3,1000,3,1002,101.1445968770422
1,3,1000,4,1000,97.20499877212569
1,3,1000,5,1000,57.426487575052306
1,3,1000,6,1002,55.394536403007805
1,3,1000,7,1001,45.9905811380595
1,3,1000,8,1000,51.700818865094334
1,3,1000,9,1008,37.1744159150403
1,3,1000,10,1000,40.42276214295998
1,3,1000,11,1001,38.41614167392254
1,3,1000,12,1008,38.29770762496628
1,3,1000,13,1001,34.36860415688716
1,3,1000,14,1008,61.61658064601943
1,3,1000,15,1005,53.31684963707812
1,3,1000,16,1008,52.690749074099585
1,3,1000,17,1003,52.451803903095424
1,3,1000,18,1008,51.751043252879754
1,3,1000,19,1007,49.194877383997664
1,3,1000,20,1000,25.033629379002377
1,3,100,1,100,3.140192430932075
1,3,100,2,100,2.4395272738765925
1,3,100,3,102,1.043171726865694
1,3,100,4,100,1.3647483550012112
1,3,100,5,100,0.8006944709923118
1,3,100,6,102,0.8132324449252337
1,3,100,7,105,0.6996915370691568
1,3,100,8,104,0.7076859620865434
1,3,100,9,108,0.6231576779391617
1,3,100,10,100,0.6041954839602113
1,3,100,11,110,0.6781383529305458
1,3,100,12,108,0.6625366150401533
1,3,100,13,104,0.5852810789365321
1,3,100,14,112,0.931260938057676
1,3,100,15,105,0.8336394429206848
1,3,100,16,112,0.8493184780236334
1,3,100,17,102,0.7919381510000676
1,3,100,18,108,0.8222934540826827
1,3,100,19,114,1.0343298260122538
1,3,100,20,100,0.514781499048695
2,3,1000,1,1000,301.66660664696246
2,3,1000,2,1000,210.50097049609758
2,3,1000,3,1002,89.81613531103358
2,3,1000,4,1000,84.36063546617515
2,3,1000,5,1000,54.37176164705306
2,3,1000,6,1002,57.646591464057565
2,3,1000,7,1001,45.84405702794902
2,3,1000,8,1000,46.077090519014746
2,3,1000,9,1008,37.126273361966014
2,3,1000,10,1000,39.84722083481029
2,3,1000,11,1001,37.13372607016936
2,3,1000,12,1008,36.59319450613111
2,3,1000,13,1001,33.63738646893762
2,3,1000,14,1008,60.55287363403477
2,3,1000,15,1005,53.37777096009813
2,3,1000,16,1008,52.88579328916967
2,3,1000,17,1003,51.64078435418196
2,3,1000,18,1008,52.76273468788713
2,3,1000,19,1007,49.04743385105394
2,3,1000,20,1000,24.46359174302779
2,3,100,1,100,3.0207759651821107
2,3,100,2,100,2.3675493709743023
2,3,100,3,102,1.0588769868481904
2,3,100,4,100,0.9711941319983453
2,3,100,5,100,0.8194572729989886
2,3,100,6,102,0.8043309741187841
2,3,100,7,105,0.7537043190095574
2,3,100,8,104,0.7327812390867621
2,3,100,9,108,0.9623501938767731
2,3,100,10,100,0.6544570720288903
2,3,100,11,110,0.6656002418603748
2,3,100,12,108,0.7212119889445603
2,3,100,13,104,0.5577876220922917
2,3,100,14,112,0.9801365081220865
2,3,100,15,105,0.9381855530664325
2,3,100,16,112,0.8572890348732471
2,3,100,17,102,0.7262323109898716
2,3,100,18,108,1.0402713890653104
2,3,100,19,114,0.8351964559406042
2,3,100,20,100,0.4570121190045029
3,3,1000,1,1000,309.09730747388676
3,3,1000,2,1000,195.77683212095872
3,3,1000,3,1002,87.48657934181392
3,3,1000,4,1000,83.62363351904787
3,3,1000,5,1000,53.90626638988033
3,3,1000,6,1002,53.579280722886324
3,3,1000,7,1001,45.96500688884407
3,3,1000,8,1000,46.28826067899354
3,3,1000,9,1008,37.86737686605193
3,3,1000,10,1000,35.026194209000096
3,3,1000,11,1001,36.56740458891727
3,3,1000,12,1008,37.11266450304538
3,3,1000,13,1001,34.30044163297862
3,3,1000,14,1008,60.02325417799875
3,3,1000,15,1005,52.52673271391541
3,3,1000,16,1008,52.35683656507172
3,3,1000,17,1003,52.445446375058964
3,3,1000,18,1008,51.42933916999027
3,3,1000,19,1007,49.22689398587681
3,3,1000,20,1000,24.527953618904576
3,3,100,1,100,3.0204280947800726
3,3,100,2,100,2.1113994230981916
3,3,100,3,102,1.1751361831557006
3,3,100,4,100,1.1443846609909087
3,3,100,5,100,0.7319649530109018
3,3,100,6,102,0.6896098689176142
3,3,100,7,105,0.6992368639912456
3,3,100,8,104,0.7128569378983229
3,3,100,9,108,0.5948278768919408
3,3,100,10,100,0.5362552220467478
3,3,100,11,110,0.6533328189980239
3,3,100,12,108,0.6898734888527542
3,3,100,13,104,0.5177837458904833
3,3,100,14,112,0.9562738370150328
3,3,100,15,105,0.8612030979711562
3,3,100,16,112,0.8928865578491241
3,3,100,17,102,0.9683810060378164
3,3,100,18,108,0.7792961047962308
3,3,100,19,114,0.8553048209287226
3,3,100,20,100,0.49008051003329456
4,3,1000,1,1000,284.12095913896337
4,3,1000,2,1000,210.49120665388182
4,3,1000,3,1002,90.26674285996705
4,3,1000,4,1000,91.41464688791893
4,3,1000,5,1000,53.891450063092634
4,3,1000,6,1002,62.30180003796704
4,3,1000,7,1001,49.57348495000042
4,3,1000,8,1000,45.56340754078701
4,3,1000,9,1008,38.372427246998996
4,3,1000,10,1000,39.469497706973925
4,3,1000,11,1001,39.77119438210502
4,3,1000,12,1008,39.28237414709292
4,3,1000,13,1001,34.352558691985905
4,3,1000,14,1008,60.88678981596604
4,3,1000,15,1005,52.88380900002085
4,3,1000,16,1008,53.006802132120356
4,3,1000,17,1003,51.721297536976635
4,3,1000,18,1008,52.02284858492203
4,3,1000,19,1007,49.9289163229987
4,3,1000,20,1000,24.945639109937474
4,3,100,1,100,2.9298278619535267
4,3,100,2,100,2.429105319082737
4,3,100,3,102,1.2084698018152267
4,3,100,4,100,1.156902038026601
4,3,100,5,100,0.8392972489818931
4,3,100,6,102,0.9217641479335725
4,3,100,7,105,0.7924316627904773
4,3,100,8,104,0.7112328819930553
4,3,100,9,108,0.611858680844307
4,3,100,10,100,0.5680068589281291
4,3,100,11,110,0.6561687490902841
4,3,100,12,108,0.7217549020424485
4,3,100,13,104,0.5196778511162847
4,3,100,14,112,0.95882079587318
4,3,100,15,105,0.781250782078132
4,3,100,16,112,0.8892465480603278
4,3,100,17,102,0.8962494859006256
4,3,100,18,108,0.9594341448973864
4,3,100,19,114,0.8643061141483486
4,3,100,20,100,0.4445108938962221
5,3,1000,1,1000,295.5154403629713
5,3,1000,2,1000,198.4740471711848
5,3,1000,3,1002,103.85599525878206
5,3,1000,4,1000,91.18590774317272
5,3,1000,5,1000,56.16179734491743
5,3,1000,6,1002,61.04030015389435
5,3,1000,7,1001,47.49888021685183
5,3,1000,8,1000,51.74074793001637
5,3,1000,9,1008,37.05695462785661
5,3,1000,10,srun: Job step aborted: Waiting up to 182 seconds for job step to finish.
slurmstepd: error: *** STEP 10174434.170 ON n1035-amd CANCELLED AT 2022-01-12T22:56:51 DUE TO TIME LIMIT ***
slurmstepd: error: *** JOB 10174434 ON n1035-amd CANCELLED AT 2022-01-12T22:56:51 DUE TO TIME LIMIT ***
