i,zad,N,np,real_N,time
1,1,2000,1,2000,113.2334512588568
1,1,2000,2,2000,51.36751826899126
1,1,2000,3,2001,41.05118560302071
1,1,2000,4,2000,29.516322596929967
1,1,2000,5,2000,24.650824462994933
1,1,2000,6,2004,23.509724766016006
1,1,2000,7,2002,19.54505790490657
1,1,2000,8,2000,18.187965255929157
1,1,2000,9,2007,14.603905037045479
1,1,2000,10,2000,13.560935412999243
1,1,2000,11,2002,15.499194426927716
1,1,2000,12,2004,14.406919864937663
1,1,2000,13,2002,13.705914742080495
1,1,2000,14,2002,13.080206506885588
1,1,2000,15,2010,21.766054056119174
1,1,2000,16,2000,19.924749275902286
1,1,2000,17,2006,18.77624693606049
1,1,2000,18,2016,20.001360520953313
1,1,2000,19,2014,20.382065682904795
1,1,2000,20,2000,9.451405748957768
1,1,300,1,300,2.5402277938555926
1,1,300,2,300,1.3716503449250013
1,1,300,3,300,0.9330444058869034
1,1,300,4,300,0.8791714070830494
1,1,300,5,300,0.855465980945155
1,1,300,6,300,0.682761977892369
1,1,300,7,301,0.5868489078711718
1,1,300,8,304,0.5152410841546953
1,1,300,9,306,0.43159881699830294
1,1,300,10,300,0.4719479170162231
1,1,300,11,308,0.5360192558728158
1,1,300,12,300,0.45589809003286064
1,1,300,13,312,0.49295848584733903
1,1,300,14,308,0.45763979316689074
1,1,300,15,300,0.5610302200075239
1,1,300,16,304,0.5652842780109495
1,1,300,17,306,0.4989750310778618
1,1,300,18,306,0.5350205791182816
1,1,300,19,304,0.5410559370648116
1,1,300,20,300,0.3944654178339988
1,1,50,1,50,0.17994456901215017
1,1,50,2,50,0.10403336607851088
1,1,50,3,51,0.0831872089765966
1,1,50,4,52,0.08686220599338412
1,1,50,5,50,0.07367826602421701
1,1,50,6,54,0.06285545090213418
1,1,50,7,56,0.06805814406834543
1,1,50,8,56,0.06376773794181645
1,1,50,9,54,0.06030839495360851
1,1,50,10,50,0.07220569509081542
1,1,50,11,55,0.0751920030452311
1,1,50,12,60,0.07500497484579682
1,1,50,13,52,0.0646276050247252
1,1,50,14,56,0.08716151700355113
1,1,50,15,60,0.08898615604266524
1,1,50,16,64,0.11808492289856076
1,1,50,17,51,0.10705695417709649
1,1,50,18,54,0.1100799071136862
1,1,50,19,57,0.09477248997427523
1,1,50,20,60,0.058783933985978365
2,1,2000,1,2000,110.1302128219977
2,1,2000,2,2000,56.214413640787825
2,1,2000,3,2001,38.10643717600033
2,1,2000,4,2000,29.07060312316753
2,1,2000,5,2000,24.77979252487421
2,1,2000,6,2004,21.89162241993472
