i,zad,N,np,real_N,time
1,3,1000,20,1000,24.842161251232028
1,3,1000,19,1007,50.02078867889941
1,3,1000,18,1008,55.4884347692132
1,3,1000,17,1003,47.510063806548715
1,3,1000,16,1008,56.04287697933614
1,3,1000,15,1005,54.66554205305874
1,3,1000,14,1008,36.41165200807154
1,3,1000,13,1001,36.93370206840336
1,3,1000,12,1008,42.30085092969239
1,3,1000,11,1001,42.88756658695638
1,3,1000,10,1000,36.07919407077134
1,3,1000,9,1008,38.34193821810186
1,3,1000,8,1000,45.83068741671741
1,3,1000,7,1001,52.88036873191595
1,3,1000,6,1002,73.12112604826689
1,3,1000,5,1000,64.54231529310346
1,3,1000,4,1000,101.39212588779628
1,3,1000,3,1002,106.7394504789263
1,3,1000,2,1000,231.20176089182496
1,3,1000,1,1000,358.3677520547062
1,3,100,20,100,0.3452179878950119
1,3,100,19,114,0.9698346816003323
1,3,100,18,108,0.8082650359719992
1,3,100,17,102,0.6890301089733839
1,3,100,16,112,0.8687483109533787
1,3,100,15,105,0.7907532639801502
1,3,100,14,112,0.5048086531460285
1,3,100,13,104,0.44736627861857414
1,3,100,12,108,0.544505974277854
1,3,100,11,110,0.5585664249956608
1,3,100,10,100,0.40814110822975636
1,3,100,9,108,0.49913107976317406
1,3,100,8,104,0.6371336672455072
1,3,100,7,105,0.5559064652770758
1,3,100,6,102,0.6898970454931259
1,3,100,5,100,0.6796671096235514
1,3,100,4,100,1.049730148166418
1,3,100,3,102,1.2203939408063889
1,3,100,2,100,2.3212922755628824
1,3,100,1,100,3.2486834172159433
2,3,1000,20,1000,24.807565649971366
2,3,1000,19,1007,49.45450031757355
2,3,1000,18,1008,54.057845840230584
2,3,1000,17,1003,48.163855059072375
2,3,1000,16,1008,58.879627134650946
2,3,1000,15,1005,53.481564324349165
2,3,1000,14,1008,36.00574787706137
2,3,1000,13,1001,37.03563120029867
2,3,1000,12,1008,42.245279686525464
2,3,1000,11,1001,42.18607383593917
2,3,1000,10,1000,41.73966524004936
2,3,1000,9,1008,42.413458252325654
2,3,1000,8,1000,45.72789931483567
2,3,1000,7,1001,52.30259764008224
2,3,1000,6,1002,71.38257957994938
2,3,1000,5,1000,65.93102533556521
2,3,1000,4,1000,110.49238868430257
2,3,1000,3,1002,105.81898431107402
2,3,1000,2,1000,219.84348609298468
2,3,1000,1,1000,322.86613941937685
2,3,100,20,100,0.3706298377364874
2,3,100,19,114,1.0442261155694723
2,3,100,18,108,0.9201755095273256
2,3,100,17,102,0.7074376400560141
2,3,100,16,112,0.8998851403594017
2,3,100,15,105,0.7750028446316719
2,3,100,14,112,0.5132463220506907
2,3,100,13,104,0.4719811789691448
2,3,100,12,108,0.5488990712910891
2,3,100,11,110,0.5561665575951338
2,3,100,10,100,0.4500320088118315
2,3,100,9,108,0.47319380566477776
2,3,100,8,104,0.5473075415939093
2,3,100,7,105,0.5862772986292839
2,3,100,6,102,0.7354106176644564
2,3,100,5,100,0.6848870757967234
2,3,100,4,100,1.077139439061284
2,3,100,3,102,1.143225347623229
2,3,100,2,100,2.4409072790294886
2,3,100,1,100,3.290557311847806
3,3,1000,20,1000,25.796089861541986
3,3,1000,19,1007,50.19680195488036
3,3,1000,18,1008,54.07366696558893
3,3,1000,17,1003,48.77188070490956
3,3,1000,16,1008,55.085103046149015
3,3,1000,15,1005,53.89878231100738
3,3,1000,14,1008,35.956640895456076
3,3,1000,13,1001,36.49198687635362
3,3,1000,12,1008,42.45668086595833
3,3,1000,11,1001,41.46037624962628
3,3,1000,10,1000,38.132946252822876
3,3,1000,9,1008,42.31224770471454
3,3,1000,8,1000,46.43466723896563
3,3,1000,7,1001,49.61451843380928
3,3,1000,6,1002,62.77600143477321
3,3,1000,5,1000,69.64590791240335
3,3,1000,4,1000,100.98875666595995
3,3,1000,3,1002,107.64922401495278
3,3,1000,2,1000,229.06259113177657
3,3,1000,1,1000,319.5064233355224
3,3,100,20,100,0.3690044917166233
3,3,100,19,114,0.9785023052245378
3,3,100,18,108,0.8865082282572985
