i,zad,N,np,real_N,time
1,1,2000,1,2000,121.0779364425689
1,1,2000,2,2000,71.45496803708375
1,1,2000,3,2001,41.50557840615511
1,1,2000,4,2000,31.959948781877756
1,1,2000,5,2000,31.22983648441732
1,1,2000,6,2004,20.78621792793274
1,1,2000,7,2002,17.589647529646754
1,1,2000,8,2000,16.338917165994644
1,1,2000,9,2007,14.448694285005331
1,1,2000,10,2000,16.580599535256624
1,1,2000,11,2002,16.349047474563122
1,1,2000,12,2004,15.39739428833127
1,1,2000,13,2002,13.43666590936482
1,1,2000,14,2002,12.73580026626587
1,1,2000,15,2010,21.087919130921364
1,1,2000,16,2000,19.97093703597784
1,1,2000,17,2006,18.842539655044675
1,1,2000,18,2016,19.748373437672853
1,1,2000,19,2014,19.095435900613666
1,1,2000,20,2000,9.11379162967205
1,1,300,1,300,2.676337007433176
1,1,300,2,300,1.3845781870186329
1,1,300,3,300,1.0776828601956367
1,1,300,4,300,0.7493358608335257
1,1,300,5,300,0.6577477846294641
1,1,300,6,300,0.4789065793156624
1,1,300,7,301,0.44300044886767864
1,1,300,8,304,0.38315329514443874
1,1,300,9,306,0.4019515737891197
1,1,300,10,300,0.3433035612106323
1,1,300,11,308,0.41473683528602123
1,1,300,12,300,0.35835632868111134
1,1,300,13,312,0.37063905596733093
1,1,300,14,308,0.33168886229395866
1,1,300,15,300,0.5532467048615217
1,1,300,16,304,0.5278928447514772
1,1,300,17,306,0.5101289805024862
1,1,300,18,306,0.5214639902114868
1,1,300,19,304,0.5049702487885952
1,1,300,20,300,0.25708155892789364
1,1,50,1,50,0.09783917665481567
1,1,50,2,50,0.05905366502702236
1,1,50,3,51,0.04812323488295078
1,1,50,4,52,0.04304499179124832
1,1,50,5,50,0.04803563095629215
1,1,50,6,54,0.03889036923646927
1,1,50,7,56,0.03814457915723324
1,1,50,8,56,0.03685810789465904
1,1,50,9,54,0.03526727482676506
1,1,50,10,50,0.034278908744454384
1,1,50,11,55,0.04297267459332943
1,1,50,12,60,0.04178146459162235
1,1,50,13,52,0.03829992935061455
1,1,50,14,56,0.03881719708442688
1,1,50,15,60,0.07912805490195751
1,1,50,16,64,0.07681615650653839
1,1,50,17,51,0.08142866007983685
1,1,50,18,54,0.08442575111985207
1,1,50,19,57,0.14004160277545452
1,1,50,20,60,0.04386181943118572
2,1,2000,1,2000,121.28916890919209
2,1,2000,2,2000,76.28501103632152
2,1,2000,3,2001,42.861114390194416
2,1,2000,4,2000,35.62394173629582
2,1,2000,5,2000,26.721610371023417
2,1,2000,6,2004,21.405085211619735
2,1,2000,7,2002,17.571593523025513
2,1,2000,8,2000,16.292005410417914
2,1,2000,9,2007,14.383048981428146
2,1,2000,10,2000,16.75544640235603
2,1,2000,11,2002,16.419061053544283
2,1,2000,12,2004,14.992891140282154
2,1,2000,13,2002,13.342570947483182
2,1,2000,14,2002,12.50175141915679
2,1,2000,15,2010,21.164856929332018
2,1,2000,16,2000,19.507753873243928
2,1,2000,17,2006,19.020650252699852
2,1,2000,18,2016,20.226357555016875
2,1,2000,19,2014,19.63066451996565
2,1,2000,20,2000,8.866544838994741
2,1,300,1,300,2.6708566192537546
2,1,300,2,300,1.437774647027254
2,1,300,3,300,0.933413403108716
2,1,300,4,300,0.6970800552517176
2,1,300,5,300,0.5770474411547184
2,1,300,6,300,0.48206424340605736
2,1,300,7,301,0.41511861979961395
2,1,300,8,304,0.3775647133588791
2,1,300,9,306,0.38399115577340126
2,1,300,10,300,0.31921747885644436
2,1,300,11,308,0.4285753555595875
2,1,300,12,300,0.3561699241399765
2,1,300,13,312,0.3592659402638674
2,1,300,14,308,0.3229781463742256
2,1,300,15,300,0.5412629079073668
2,1,300,16,304,0.5743096731603146
2,1,300,17,306,0.5231513399630785
2,1,300,18,306,0.5360297933220863
2,1,300,19,304,0.5242683663964272
2,1,300,20,300,0.6097569353878498
2,1,50,1,50,0.09762900322675705
2,1,50,2,50,0.06005910225212574
2,1,50,3,51,0.04876626655459404
2,1,50,4,52,0.044558584690093994
2,1,50,5,50,0.03976306691765785
2,1,50,6,54,0.0387079156935215
2,1,50,7,56,0.03751843236386776
2,1,50,8,56,0.0380947757512331
2,1,50,9,54,0.03681423142552376
2,1,50,10,50,0.03280356526374817
2,1,50,11,55,0.04316035285592079
2,1,50,12,60,0.0421926025301218
2,1,50,13,52,0.03790788911283016
2,1,50,14,56,0.04621947556734085
2,1,50,15,60,0.09043235331773758
2,1,50,16,64,0.09183754585683346
2,1,50,17,51,0.09322390519082546
2,1,50,18,54,0.09131006710231304
2,1,50,19,57,0.09361192397773266
2,1,50,20,60,0.0428711399435997
3,1,2000,1,2000,119.60085937194526
3,1,2000,2,2000,67.65616305172443
3,1,2000,3,2001,40.61472727544606
3,1,2000,4,2000,32.7165444213897
3,1,2000,5,2000,27.91303065419197
3,1,2000,6,2004,20.735366133973002
3,1,2000,7,2002,19.140033992007375
3,1,2000,8,2000,16.644638542085886
3,1,2000,9,2007,14.205877263098955
3,1,2000,10,2000,16.739336559548974
3,1,2000,11,2002,16.03312328644097
3,1,2000,12,2004,15.137177307158709
